board,number,name,source
1,1,Grand sft 1A,SR-JV80-01_Pop_Waveform_List.pdf
1,2,Grand sft 1B,SR-JV80-01_Pop_Waveform_List.pdf
1,3,Grand sft 1C,SR-JV80-01_Pop_Waveform_List.pdf
1,4,Grand hrd 1A,SR-JV80-01_Pop_Waveform_List.pdf
1,5,Grand hrd 1B,SR-JV80-01_Pop_Waveform_List.pdf
1,6,Grand hrd 1C,SR-JV80-01_Pop_Waveform_List.pdf
1,7,E.Grand 2,SR-JV80-01_Pop_Waveform_List.pdf
1,8,Wurly soft A,SR-JV80-01_Pop_Waveform_List.pdf
1,9,Wurly soft B,SR-JV80-01_Pop_Waveform_List.pdf
1,10,Wurly soft C,SR-JV80-01_Pop_Waveform_List.pdf
1,11,Wurly hard A,SR-JV80-01_Pop_Waveform_List.pdf
1,12,Wurly hard B,SR-JV80-01_Pop_Waveform_List.pdf
1,13,Wurly hard C,SR-JV80-01_Pop_Waveform_List.pdf
1,14,E. Piano 3A,SR-JV80-01_Pop_Waveform_List.pdf
1,15,E. Piano 3B,SR-JV80-01_Pop_Waveform_List.pdf
1,16,E. Piano 3C,SR-JV80-01_Pop_Waveform_List.pdf
1,17,Clav 2A,SR-JV80-01_Pop_Waveform_List.pdf
1,18,Clav 2B,SR-JV80-01_Pop_Waveform_List.pdf
1,19,Clav 2C,SR-JV80-01_Pop_Waveform_List.pdf
1,20,Clav 3A,SR-JV80-01_Pop_Waveform_List.pdf
1,21,Clav 3B,SR-JV80-01_Pop_Waveform_List.pdf
1,22,Clav 3C,SR-JV80-01_Pop_Waveform_List.pdf
1,23,Clav 4A,SR-JV80-01_Pop_Waveform_List.pdf
1,24,Clav 4B,SR-JV80-01_Pop_Waveform_List.pdf
1,25,Clav 4C,SR-JV80-01_Pop_Waveform_List.pdf
1,26,Jazz Organ 2,SR-JV80-01_Pop_Waveform_List.pdf
1,27,Ballad Organ,SR-JV80-01_Pop_Waveform_List.pdf
1,28,Even Bars,SR-JV80-01_Pop_Waveform_List.pdf
1,29,Sft Stop,SR-JV80-01_Pop_Waveform_List.pdf
